id,trade_date,setup_name,direction,grade,score,ts_et,spot,charm_limit_entry,abs_es_price,lis,target,Column1,max_plus_gex,max_minus_gex,gap_to_lis,paradigm,vix,overvix,greek_alignment,spot_vol_beta,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level,bofa_stop_level,bofa_target_level,abs_vol_ratio,vanna_all,vanna_weekly,vanna_monthly,comments
116,17-02-2026,BofA Scalp,short,A+,100,24:34.6,6863.55,,,6866,6853.55,10,,,2.45,BOFA-PURE,,,2,-0.89,EXPIRED,7.26,7.26,-2.35,,timeout,6853.55,6878,6878,6853.55,,-989563447.4,-379649934.2,-165336191.3,
117,17-02-2026,GEX Long,long,A+,95,40:34.4,6840.6,,,6840,6865,24.4,6935,6840,0.6,GEX-LIS,,,1,-0.58,EXPIRED,-0.39,6.59,-0.39,,timeout,6852.6,6832.6,,,,-607960439.2,-243460090.1,3812825.95,Cough the fast movement 
118,18-02-2026,DD Exhaustion,short,LOG,0,39:14.0,6896.69,,,,,6896.69,,,,SIDIAL-MESSY,,,2,-0.83,WIN,16.5,37.99,-11.37,248,target,6876.69,6873.76,,,,-1048245422,-118045379.4,-648357582,
120,18-02-2026,DD Exhaustion,short,LOG,0,26:38.6,6900.12,,,,,6900.12,,,,SIDIAL-MESSY,,,2,-0.9,WIN,12.9,41.42,-7.94,177,target,6880.12,6884.31,,,,-1061745673,-98391180.25,-587408019.3,
121,18-02-2026,DD Exhaustion,short,LOG,0,57:13.9,6896.82,,,,,6896.82,,,,SIDIAL-MESSY,,,2,-0.85,WIN,16.5,38.12,-11.24,170,target,6876.82,6873.76,,,,-936799403.5,-63404320.65,-546938901.5,
122,18-02-2026,DD Exhaustion,short,LOG,0,49:39.6,6900.37,,,,,6900.37,,,,SIDIAL-MESSY,,,2,-1.11,WIN,13,41.67,-7.69,94,target,6880.37,6884.31,,,,-982719228.7,-3286469.15,-459382064.8,
123,18-02-2026,GEX Long,long,A-Entry,60,00:08.7,6902.95,,,6898,6923,20.05,6915,6830,4.95,GEX-TARGET,,,-1,-1.18,LOSS,-8,5.11,-44.25,29,stop,6914.95,6894.95,,,,-1040745775,-5918270.37,-464343495.8,
124,18-02-2026,Paradigm Reversal,short,A-Entry,50,11:39.6,6903.38,,,6899,,6903.38,,,4.38,SIDIAL-MESSY,,,2,-1.14,WIN,10,10,,20,10pt,6893.38,6918.38,,,,-1081550609,-18247493.79,-498098769.9,
126,18-02-2026,DD Exhaustion,long,LOG,0,45:08.4,6888.75,,,,,6888.75,,,,GEX-TARGET,,,0,-0.84,LOSS,-12,2.23,-30.05,50,stop,6908.75,6876.75,,,,-874869941.9,-13206628.31,-450145062.7,
128,18-02-2026,Paradigm Reversal,short,A-Entry,46.2,11:43.1,6887.92,,,6887,,6887.92,,,0.92,BOFA-PURE,,,0,-0.62,WIN,10,29.22,0,20,10pt,6877.92,6902.92,,,,-697297758.9,3385059.37,-385286841.5,
129,18-02-2026,BofA Scalp,long,A,75,28:41.1,6882.38,,,6883,6892.38,10,,,0.62,BOFA-PURE,,,0,-0.55,LOSS,-11.38,0,-21.1,11,stop,6892.38,6871,6871,6892.38,,-723957842.9,-6741053.43,-404020189.1,
130,18-02-2026,BofA Scalp,long,A-Entry,60,32:47.1,6878.71,,,6883,6888.71,10,,,4.29,BOFA-PURE,,,0,-0.55,LOSS,-7.7,0,,4,stop,6888.71,6871,6871,6888.71,,-676371255.5,-28681763.55,-411469185.7,
131,18-02-2026,DD Exhaustion,long,A+,88,34:45.9,6877.36,,,,,6877.36,,,,BOFA-PURE,,,0,-0.47,LOSS,-1,10,-18.66,23,stop,6897.36,6865.36,,,,-613390430.8,-49856788.72,-425506993.3,
132,18-02-2026,DD Exhaustion,long,A+,90,04:05.5,6870.72,,,,,6870.72,,,,GEX-LIS,,,0,-0.05,LOSS,-1,16.64,-11.28,19,stop,6890.72,6858.72,,,,-324697112.4,46611810.99,-292127400.2,
133,19-02-2026,AG Short,short,A,80,56:12.8,6874.05,,,6884,6848,26.05,6935,6830,9.95,AG-TARGET,,,-1,0.57,WIN,18,38.5,-1.21,13,10pt,6848,6894.05,,,,46919988,169823195.7,-2224197.34,
134,19-02-2026,AG Short,short,A,80,03:54.4,6874.49,,,6884,6847,27.49,6935,6830,9.51,AG-TARGET,,,-1,0.42,WIN,18.7,38.94,-0.77,6,10pt,6847,6894.49,,,,99158808.15,194284208,31149331.16,
135,19-02-2026,DD Exhaustion,short,A-Entry,41,04:19.5,6878.3,,,,,6878.3,,,,SIDIAL-EXTREME,,,0,0.36,WIN,23.9,37.8,,235,target,,6840.55,,,,99158808.15,194284208,31149331.16,
136,19-02-2026,AG Short,short,A+,90,23:13.7,6867,,,6877,6844,23,6870,6830,10,AG-TARGET,,,-1,0.55,WIN,16.5,31.45,-8.26,44,10pt,6844,6882,,,,79122790.47,151399356.2,-7372068.03,
137,19-02-2026,AG Short,short,A,80,31:43.2,6865.45,,,6877,6840,25.45,6870,6830,11.55,AG-LIS,,,-1,0.51,WIN,17.7,29.9,-9.81,76,10pt,6840,6882,,,,127738308.6,145564155.9,-15004304.77,
138,19-02-2026,DD Exhaustion,short,A-Entry,36,36:43.2,6871.07,,,,,6871.07,,,,SIDIAL-EXTREME,,,2,0.32,WIN,20.2,30.5,,202,target,,6840.55,,,,-11585259.22,150888639.6,-10976633.9,
139,19-02-2026,DD Exhaustion,short,A-Entry,41,52:13.2,6860.9,,,,,6860.9,,,,SIDIAL-EXTREME,,,2,0.22,LOSS,-12,0,,187,stop,,6872.9,,,,-31602704.76,125359383,-27408302.88,
140,19-02-2026,AG Short,short,A+,95,01:14.4,6870.06,,,6875,6839,31.06,6870,6830,4.94,AG-LIS,,,3,0.2,WIN,20.5,34.51,-3.26,6,10pt,6839,6880,,,,-5051970.07,109254898.6,-47827549.19,
141,19-02-2026,BofA Scalp,short,A,80,20:14.7,6873.29,,,6878,6863.29,10,,,4.71,BofA-LIS,,,2,0.33,WIN,10,10,,8,10pt,6863.29,6890,6890,6863.29,,-2457276.19,103322646.3,-44925183.96,
142,19-02-2026,DD Exhaustion,short,A,60,31:14.3,6862.56,,,,,6862.56,,,,BofA-LIS,,,0,0.3,WIN,16,22,,148,target,,6840.55,,,,50549655.76,103464580.8,-44063620.73,
143,19-02-2026,AG Short,short,A-Entry,65,11:43.2,6851.14,,,6870,6829,22.14,6870,6830,18.86,AG-LIS,,,-1,0.52,WIN,10,15.59,-11.05,42,10pt,6829,6871.14,,,,282162537.8,110878728.1,-49626332.41,
144,19-02-2026,DD Exhaustion,short,A,57,12:43.7,6850.64,,,,,6850.64,,,,BOFA-PURE,,,0,0.46,WIN,1.5,15.09,-11.55,,timeout,6830.64,6862.64,,,,313135464.7,116171738.3,-33062411.38,
145,19-02-2026,DD Exhaustion,short,A+,75,41:36.5,6856.03,,,,,6856.03,,,,BOFA-PURE,,,0,0.41,WIN,12.8,15.5,,77,target,,6840.55,,,,215970012.7,109711872.3,-42122534.37,
146,19-02-2026,DD Exhaustion,short,A,67,25:23.0,6836.96,,,,,6836.96,,,,BOFA-PURE,,,0,0.42,LOSS,-12,0,,33,stop,,6848.96,,,,414619257.7,127231840.5,-13944799.85,
147,19-02-2026,ES Absorption,bearish,C,33.2,53:38.1,6851.18,,6867,6810,,6851.18,6870,6830,57,BOFA-PURE,,,-1,0.59,LOSS,-12,0,35,44,10pt,6857,6879,,,1.6,290094967.9,85179895.96,-26918911.45,
148,19-02-2026,DD Exhaustion,short,A+,85,02:50.9,6851.67,,,,,6851.67,,,,BOFA-PURE,,,0,0.57,WIN,2,13.06,-5.9,,timeout,6831.67,6863.67,,,,259852002.1,75429770.61,-16676228.13,
149,19-02-2026,BofA Scalp,short,A+,95,07:22.5,6854.64,,,6859,6844.64,10,,,4.36,BOFA-PURE,,,0,0.47,WIN,10,10,,30,10pt,6844.64,6871,6871,6844.64,,319697472.1,97069071.19,8546540.98,
150,19-02-2026,ES Absorption,bearish,B,41.8,19:45.1,6854.67,,6872,6812,,6854.67,6870,6830,60,BOFA-PURE,,,-1,0.48,LOSS,-12,0,30,18,10pt,6862,6884,,,2.2,325850413.3,100014215.1,14901312.77,
151,19-02-2026,DD Exhaustion,short,A,65,43:20.6,6839.5,,,,,6839.5,,,,BOFA-PURE,,,0,0.71,LOSS,-12,0,,63,stop,,6851.5,,,,600379873,142205643.1,63981097.12,
152,19-02-2026,DD Exhaustion,short,A+,75,17:50.7,6844.64,,,,,6844.64,,,,BOFA-PURE,,,0,0.49,LOSS,-12,0,,36,stop,,6856.64,,,,440964373.5,120393782.1,23835966,
153,20-02-2026,GEX Long,long,A,80,01:49.6,6903.06,,,6900,6939,35.94,7000,6845,3.06,GEX-MESSY,,,-1,-1.01,LOSS,-8,0,,14,stop,,6895.06,,,,-201294767.6,183261636.9,148628862.1,
154,20-02-2026,DD Exhaustion,short,A-Entry,53,02:20.9,6905.4,,,,,6905.4,,,,GEX-MESSY,,,2,-0.97,WIN,16.5,23,,30,target,,6882.35,,,,-202057174.2,172227627.8,122694864.4,
155,20-02-2026,DD Exhaustion,short,A,66,07:45.6,6901.9,,,,,6901.9,,,,GEX-MESSY,,,2,-1.01,WIN,14.8,19.5,,24,target,,6882.35,,,,-227472453.4,178560596,130058573.6,
156,20-02-2026,GEX Long,long,A,80,11:15.4,6898.48,,,6897,6940,41.52,6920,6845,1.48,GEX-MESSY,,,-1,-1.01,LOSS,-8,0,,7,stop,,6894.31,,,,-210583108.7,171148613.7,129660453.3,
157,20-02-2026,Paradigm Reversal,short,A-Entry,57.5,21:45.3,6887.69,,,6890,,6887.69,,,2.31,SIDIAL-EXTREME,,,2,-0.76,WIN,10,10,,8,10pt,6877.69,6902.69,,,,-107934045,66193101,17262611.77,
158,20-02-2026,DD Exhaustion,long,A,63,30:44.1,6877.67,,,,,6877.67,,,,AG-TARGET,,,0,-0.82,WIN,17.4,24.9,,30,target,,6902.56,,,,-3591944.24,9498027.41,-16023784.94,
159,20-02-2026,DD Exhaustion,short,A,72,39:52.8,6896.84,,,,,6896.84,,,,AG-TARGET,,,2,-0.78,WIN,20.6,31.3,,47,target,,6865.54,,,,-75330134.93,37540277.19,14496426.56,
160,20-02-2026,DD Exhaustion,short,A,72,48:55.2,6905.01,,,,,6905.01,,,,GEX-MESSY,,,2,-1,WIN,24.8,39.5,,38,target,,6865.54,,,,-172151429.9,173462539.4,147020051.8,
161,20-02-2026,GEX Long,long,A-Entry,65,50:54.4,6904.66,,,6897,6946,41.34,6920,6845,7.66,GEX-MESSY,,,-1,-1,LOSS,-8,0,,13,stop,,6896.66,,,,-184623119.7,192968321.5,167575140,
163,20-02-2026,DD Exhaustion,short,A+,77,55:57.8,6906.46,,,,,6906.46,,,,GEX-MESSY,,,2,-0.94,WIN,25.4,40.9,,31,target,,6865.54,,,,-240353404.8,180775980.6,133508118.9,
162,20-02-2026,GEX Long,long,A-Entry,70,02:27.6,6902.59,,,6897,6946,43.41,7000,6845,5.59,GEX-MESSY,,,-1,-0.91,LOSS,-8,0,,8,stop,,6897.3,,,,-236082064.2,186473540.7,147527262.1,
164,20-02-2026,DD Exhaustion,long,A,65,10:56.9,6885.36,,,,,6885.36,,,,GEX-PURE,,,0,-0.71,LOSS,-12,0,,4,stop,,6873.36,,,,-126332401.6,72926585.94,57582502.24,
165,20-02-2026,Paradigm Reversal,short,A-Entry,52.5,17:56.9,6872.83,,,6877,,6872.83,,,4.17,BOFA-PURE,,,-2,-0.59,WIN,10,10,,4,10pt,6862.83,6887.83,,,,16325925.16,-22381047.94,-11177699.75,
166,20-02-2026,DD Exhaustion,long,A,62,29:18.6,6863.63,,,,,6863.63,,,,BOFA-PURE,,,2,-0.2,WIN,12.8,15.6,,18,target,,6879.24,,,,168301779.6,-106892956.2,-73298467.55,
167,20-02-2026,BofA Scalp,short,A-Entry,60,30:50.0,6872.65,,,6875,6862.65,10,,,2.35,BOFA-PURE,,,-2,-0.2,LOSS,-14.4,0,,21,stop,6862.65,6887,6887,6862.65,,168301779.6,-106892956.2,-73298467.55,
168,20-02-2026,AG Short,short,A,75,33:51.9,6874.69,,,6875,6850,24.69,6900,6845,0.31,AG-LIS,,,-3,-0.02,LOSS,-20,0,,59,stop,6850,6894.69,,,,63975322.89,-85255705.3,-52580540.29,
169,20-02-2026,DD Exhaustion,long,A,70,57:09.2,6888.13,,,,,6888.13,,,,AG-LIS,,,0,-0.53,WIN,16.4,22.7,,51,target,,6910.8599,,,,-139433726.7,29749633.59,30724006.39,
170,20-02-2026,DD Exhaustion,short,A,67,01:30.6,6892.15,,,,,6892.15,,,,AG-LIS,,,2,-0.52,LOSS,-12,0,,40,stop,,6904.15,,,,-167052612,18898587.39,20230609.57,
171,20-02-2026,DD Exhaustion,long,A,65,11:44.2,6885.53,,,,,6885.53,,,,AG-LIS,,,0,-0.52,WIN,17.6,25.3,,37,target,,6910.8599,,,,-146961883.9,3153961.82,13989736.15,
172,20-02-2026,DD Exhaustion,long,A-Entry,50,21:53.8,6879.62,,,,,6879.62,,,,AG-LIS,,,0,-0.33,WIN,13.6,17.2,,13,target,,6896.84,,,,-115410084.6,-58059879.71,-61842901.09,
173,20-02-2026,DD Exhaustion,long,A-Entry,50,30:55.0,6881.14,,,,,6881.14,,,,AG-LIS,,,0,-0.23,WIN,12.8,15.7,,4,target,,6896.84,,,,-141189600.3,-40697851.3,-49458859.59,
174,20-02-2026,DD Exhaustion,short,A,70,37:57.3,6899.35,,,,,6899.35,,,,AG-LIS,,,2,-0.73,LOSS,-12,0,,8,stop,,6911.35,,,,-224576036.7,26138937.21,1770992.42,
175,20-02-2026,AG Short,short,A-Entry,70,48:25.2,6913.99,,,6921,6903,10.99,6920,6845,7.01,AG-LIS,,,1,-0.77,WIN,10.5,17.74,0,27,10pt,6903,6926,,,,-251250838.6,71255209.62,46903584.24,
176,20-02-2026,DD Exhaustion,short,A+,87,07:26.4,6905.8,,,,,6905.8,,,,AG-LIS,,,2,-1.1,EXPIRED,-3.4,0,,112,timeout,,6917.8,,,,-364642132.9,166345786.3,124790359.2,
177,20-02-2026,DD Exhaustion,short,A,70,18:57.8,6900.4,,,,,6900.4,,,,AG-LIS,,,2,-0.93,EXPIRED,-8.8,0,,101,timeout,,6912.4,,,,-299055798,80467126.49,50514729.21,
178,20-02-2026,AG Short,short,A-Entry,65,22:29.0,6906.14,,,6914,6894,12.14,6910,6845,7.86,AG-LIS,,,1,-0.93,EXPIRED,9.89,9.89,-1.59,,timeout,6894,6919,,,,-289432957,64888440.88,38604571.05,
179,20-02-2026,DD Exhaustion,short,A,63,50:57.7,6897.65,,,,,6897.65,,,,AG-LIS,,,2,-0.9,EXPIRED,-11.5,0,,69,timeout,,6909.65,,,,-271988952.3,23643419.39,17465970.79,
180,20-02-2026,DD Exhaustion,short,A,63,59:36.1,6897.92,,,,,6897.92,,,,AG-LIS,,,2,-0.96,EXPIRED,-11.3,0,,60,timeout,,6909.92,,,,-262995847.6,33271945.68,22877223.38,
181,20-02-2026,DD Exhaustion,short,A+,80,11:18.1,6907.81,,,,,6907.81,,,,AG-LIS,,,2,-0.8,EXPIRED,-1.4,0,,48,timeout,,6919.81,,,,-346088070.6,104848294.8,85617589.18,
182,20-02-2026,AG Short,short,A-Entry,65,49:21.6,6906.85,,,6918,6890,16.85,6910,6845,11.15,AG-LIS,,,1,-0.84,EXPIRED,4.59,4.59,-0.88,,timeout,6890,6923,,,,-179614142.5,78421364.7,101470500.1,
183,23-02-2026,GEX Long,long,A,85,42:47.7,6896.95,,,6896,6917,20.05,6950,6850,0.95,GEX-TARGET,,,-1,0.5,LOSS,-8,-1.89,-9.57,2,stop,,6894.02,,,,-492292349.2,266099221.1,-142991157.2,
184,23-02-2026,DD Exhaustion,long,A-Entry,36,09:17.9,6869.11,,,,,6869.11,,,,AG-TARGET,,,2,1.19,LOSS,-12,0.61,-13.32,26,stop,,6857.11,,,,296689213.4,264852192,-30686363.37,
185,23-02-2026,AG Short,short,A,85,21:19.8,6867.57,,,6868,6830,37.57,6950,6850,0.43,AG-TARGET,,,-3,1.2,WIN,23.8,45.58,-2.15,14,10pt,6830,6887.57,,,,336722855,238223172.4,-43776708.95,
186,23-02-2026,DD Exhaustion,long,A-Entry,41,46:18.6,6852.52,,,,,6852.52,,,,AG-TARGET,,,2,1.32,LOSS,-12,1.2,-12.02,10,stop,,6840.52,,,,478401307.8,197719363.7,-60086086.75,
187,23-02-2026,DD Exhaustion,short,A-Entry,48,04:47.8,6825.35,,,,,6825.35,,,,AG-PURE,,,0,1.67,LOSS,-12,5.53,-12.72,21,stop,,6837.35,,,,856306420.9,156832431.2,-61283404.72,
188,23-02-2026,DD Exhaustion,long,A,59,23:20.1,6833.33,,,,,6833.33,,,,AG-PURE,,,2,1.62,WIN,13.6,22.05,-11.27,138,target,,6850.38,,,,931375762.9,140450610.8,-20999432.05,
189,23-02-2026,DD Exhaustion,long,A-Entry,53,49:24.1,6836.73,,,,,6836.73,,,,AG-PURE,,,2,1.3,LOSS,-12,5.03,-12.54,48,stop,,6824.73,,,,915969958.5,184230770.4,30021349.06,
190,23-02-2026,DD Exhaustion,long,A-Entry,53,58:38.9,6836.06,,,,,6836.06,,,,AG-PURE,,,2,1.37,LOSS,-12,4.07,-12.71,39,stop,,6824.06,,,,951655553.8,175085800,24054755.74,
191,23-02-2026,DD Exhaustion,long,A,60,39:30.8,6824.2,,,,,6824.2,,,,AG-PURE,,,2,1.59,WIN,18.1,31.18,-2.14,61,target,,6850.38,,,,1350115820,161983879.4,10013496.55,
192,23-02-2026,DD Exhaustion,long,A,55,16:33.2,6848.5,,,,,6848.5,,,,AG-LIS,,,2,1.11,LOSS,-12,6.88,-12.41,42,stop,,6836.5,,,,1210922245,215630608,82919966.9,
193,23-02-2026,DD Exhaustion,short,A,67,25:32.1,6853.93,,,,,6853.93,,,,AG-LIS,,,0,1.07,WIN,18.2,31.37,-1.45,82,target,,6827.56,,,,1147973913,221886099.9,98545613.89,
194,23-02-2026,DD Exhaustion,long,A-Entry,43,58:01.4,6837.44,,,,,6837.44,,,,AG-LIS,,,2,1.17,LOSS,-12,0.78,-12.21,44,stop,,6825.44,,,,1246102745,178236473.1,75950862.46,
195,23-02-2026,Paradigm Reversal,long,A,60,02:33.9,6837.19,,,6841,,6837.19,,,3.81,BOFA-PURE,,,2,1.31,EXPIRED,-13.51,0,-13.51,,timeout,6847.19,6822.19,,,,1306684672,176660617.5,74176890.62,
196,23-02-2026,BofA Scalp,short,A-Entry,70,04:32.0,6836.03,,,6841,6826.03,10,,,4.97,BOFA-PURE,,,-2,1.31,EXPIRED,5.37,5.37,-0.49,,timeout,6826.03,6853,6853,6826.03,,1306684672,176660617.5,74176890.62,
197,23-02-2026,DD Exhaustion,long,A+,78,37:00.9,6826.72,,,,,6826.72,,,,BOFA-PURE,,,2,1.37,WIN,10.2,11.64,-4.16,82,timeout,,6814.72,,,,1284203923,59114807.19,-31818795.07,
198,23-02-2026,DD Exhaustion,long,A,58,07:02.3,6827.31,,,,,6827.31,,,,BOFA-PURE,,,2,1.58,WIN,9.9,11.05,-3.57,52,timeout,,6815.31,,,,1324616576,37603579.47,-11081137.94,
199,23-02-2026,DD Exhaustion,short,A,70,18:33.1,6825.07,,,,,6825.07,,,,BOFA-PURE,,,0,1.73,LOSS,-12,0.89,-13.29,15,stop,,6837.07,,,,1345705568,65257939.63,18065358.64,
200,24-02-2026,GEX Long,long,A+,90,51:15.9,6861.97,,,6859,6938,76.03,6900,6800,2.97,GEX-PURE,,,1,-0.07,LOSS,-8,1.27,-8.73,4,stop,,6853.97,,,,1363905030,384320309.8,420996067,
201,24-02-2026,BofA Scalp,short,A,75,09:45.7,6853.37,,,6856,6843.37,10,,,2.63,BofA-LIS,,,0,0.16,LOSS,-14.6,6.16,-15.5,16,stop,6843.37,6868,6868,6843.37,,1312420358,229847437.9,273242376.3,
202,24-02-2026,DD Exhaustion,short,A-Entry,46,12:16.0,6856.4,,,,,6856.4,,,,BofA-LIS,,,0,-0.08,LOSS,-12,9.19,-12.47,13,stop,,6868.4,,,,1316334636,220398795.1,271815262.3,
203,24-02-2026,DD Exhaustion,long,A-Entry,49,31:46.0,6880.11,,,,,6880.11,,,,SIDIAL-MESSY,,,2,-0.74,WIN,11.1,19.06,-11.08,333,timeout,,6868.11,,,,1126968224,325823475.5,389290128.5,
204,24-02-2026,DD Exhaustion,short,A-Entry,36,45:46.2,6878.61,,,,,6878.61,,,,SIDIAL-MESSY,,,0,-0.66,LOSS,-12,9.58,-12.2,85,stop,,6890.61,,,,1112163125,290309626.5,363199296.9,
