id,ts_et,trade_date,setup_name,direction,grade,paradigm,spot,lis,target,greek_alignment,overvix,vix,vix3m,vix_vix3m_ratio,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,d_has_context,d_apollo_am,d_apollo_pm,d_pro_bias,d_regime_tags,d_named_patterns,d_key_levels,d_bias_alignment,d_bias_score,d_apollo_paradigm_match,d_near_discord_level,d_align_score,d_align_strong,d_aligned,d_pat_backside_short,d_pat_fade_rally_undervix_exhaustion,d_pat_apollo_fade_call,d_pat_volatility_spike_pause_candidate,d_pat_dd_concentration_magnet,d_pat_darkmatter_vanna_walk,d_pat_108_orders_7300,d_pat_wizard_vix_warning,d_pat_jpm_collar_short,d_pat_apollo_iceberg_3k_seller_7430,d_pat_vanna_tower_sequential,d_pat_darkmatter_breadth,d_pat_gex_pure,d_pat_yahya_dealer_setup_long,d_pat_darkmatter_target,d_pat_never_under,d_pat_apollo_weekly_top_call_6650,d_pat_gap_day,d_reg_overvixed,d_reg_holiday_closed,d_reg_watch_vix,d_reg_undervixing,d_reg_overvixing,d_reg_dd_supportive,d_reg_undervixing_extreme,d_reg_rally,d_reg_negative_vanna_both_weeks,d_reg_geopolitical_overnight_gap,d_reg_breadth_divergence_warning,d_reg_gap_up_3pct,d_reg_trump_iran_headline,d_reg_overvixed_choppy,d_reg_vanna_supportive_pm,d_reg_slightly_overvixing,d_reg_ceasefire_pop,d_reg_large_neg_dd,d_reg_selloff,d_reg_vol_elevated,d_reg_flow_divergence_warning,d_reg_negative_vanna_tenors,d_reg_dd_neutral_pm
1005,2026-03-20 11:27:13.904283,2026-03-20,Skew Charm,SHORT,C,GEX-LIS,6544.64,,6534.64,-1,-0.74,25.92,26.559999465942383,0.9759036340809025,LOSS,-14.0,1.37,-14.12,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,2026-03-20 11:28:19.395180,2026-03-20,ES Absorption,BULLISH,A,GEX-LIS,6545.88,6550.0,6555.0,1,-0.76,25.87,26.6299991607666,0.9714607891581802,WIN,10.0,11.75,-2.5,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,2026-03-20 11:50:42.367567,2026-03-20,DD Exhaustion,SHORT,A+,GEX-LIS,6551.43,,,-1,-0.85,25.62,26.5,0.9667924528301887,LOSS,-12.0,3.21,-12.58,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,2026-03-20 11:57:44.205200,2026-03-20,Skew Charm,SHORT,C,GEX-LIS,6556.32,,6546.32,-1,-0.92,25.42,26.3799991607666,0.9636088251968428,WIN,6.0,10.08,-8.37,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,2026-03-20 12:01:02.151453,2026-03-20,ES Absorption,BEARISH,B,GEX-LIS,6554.65,6550.0,6555.0,-1,-0.91,25.37,26.299999237060547,0.9646388112532702,WIN,10.0,10.25,-7.75,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,2026-03-20 12:07:18.683379,2026-03-20,Paradigm Reversal,SHORT,A-Entry,BOFA-PURE,6559.28,6561.0,,-1,-0.97,25.25,26.219999313354492,0.9630053646545884,WIN,10.0,10.22,-5.41,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,2026-03-20 12:23:13.769854,2026-03-20,DD Exhaustion,SHORT,A,BOFA-PURE,6564.16,,,-1,-0.91,25.22,26.079999923706055,0.9670245427062161,WIN,18.0,31.1,-0.19,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,2026-03-20 12:28:42.483010,2026-03-20,Skew Charm,SHORT,C,BOFA-PURE,6557.88,,6547.88,-1,-0.88,25.41,26.290000915527344,0.9665271629942166,WIN,6.8,11.64,0.08,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,2026-03-20 12:47:28.192753,2026-03-20,ES Absorption,BULLISH,A,BOFA-PURE,6551.04,6550.0,,1,-0.8,25.65,26.450000762939453,0.9697542253359637,WIN,5.0,11.0,-3.5,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,2026-03-20 12:55:42.316213,2026-03-20,DD Exhaustion,SHORT,A+,BOFA-PURE,6551.63,,,-1,-0.86,25.54,26.440000534057617,0.9659606461467988,WIN,21.6,38.16,-6.06,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,2026-03-20 12:59:12.267597,2026-03-20,Skew Charm,SHORT,C,BOFA-PURE,6556.08,,6546.08,-1,-0.96,25.36,26.290000915527344,0.9646252992338974,WIN,12.5,23.02,-1.17,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,2026-03-20 13:25:42.932510,2026-03-20,DD Exhaustion,SHORT,A+,GEX-LIS,6549.02,,,-1,-0.83,25.69,26.479999542236328,0.9701661799134,WIN,20.3,35.55,0.0,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,2026-03-20 13:30:42.410425,2026-03-20,Skew Charm,SHORT,LOG,GEX-LIS,6548.59,,6538.59,-1,-0.79,25.78,26.579999923706055,0.9699021848757586,WIN,8.8,15.53,0.03,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,2026-03-20 13:47:42.265049,2026-03-20,GEX Long,LONG,A,GEX-LIS,6534.43,6539.0,6545.0,1,-0.5,26.35,26.84000015258789,0.981743660588592,LOSS,-8.0,6.88,-8.96,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,2026-03-20 13:57:44.765239,2026-03-20,DD Exhaustion,SHORT,A,GEX-LIS,6540.24,,,-1,-0.56,26.17,26.719999313354492,0.9794161928335229,WIN,15.9,26.77,0.0,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,2026-03-20 14:02:12.620337,2026-03-20,Skew Charm,SHORT,LOG,GEX-LIS,6538.58,,6528.58,-1,-0.59,26.13,26.709999084472656,0.9782853199418554,WIN,13.6,25.11,1.09,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,2026-03-20 14:05:12.548544,2026-03-20,GEX Long,LONG,A,GEX-LIS,6534.54,6539.0,6545.0,1,-0.53,26.26,26.719999313354492,0.9827844563931337,LOSS,-8.0,1.1,-9.07,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,2026-03-20 14:11:34.036932,2026-03-20,DD Exhaustion,SHORT,A+,GEX-LIS,6531.19,,,-1,-0.48,26.39,26.829999923706055,0.9836004500575013,WIN,17.0,29.01,-1.04,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,2026-03-20 14:17:52.975419,2026-03-20,ES Absorption,BEARISH,C,GEX-LIS,6530.25,6530.0,6536.0,-1,-0.4,26.49,26.8799991607666,0.9854911021970627,WIN,10.0,10.0,-1.25,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,2026-03-20 14:27:48.717973,2026-03-20,ES Absorption,BULLISH,A,GEX-LIS,6519.44,6529.0,6534.0,3,-0.09,27.11,27.25,0.9948623853211009,LOSS,-8.0,2.5,-8.25,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,2026-03-20 14:28:17.757395,2026-03-20,DD Exhaustion,LONG,A,GEX-LIS,6521.7,,,3,-0.03,27.14,27.200000762939453,0.9977940896596884,LOSS,-12.0,-2.45,-12.22,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,2026-03-20 14:37:26.661879,2026-03-20,GEX Long,LONG,A-Entry,GEX-LIS,6510.63,6515.0,6521.0,3,0.11,27.51,27.299999237060547,1.0076923358537817,LOSS,-8.0,1.38,-8.09,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,2026-03-20 14:40:25.876655,2026-03-20,DD Exhaustion,LONG,A+,GEX-LIS,6508.47,,,3,0.17,27.64,27.450000762939453,1.006921647787969,LOSS,-12.0,3.54,-12.56,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,2026-03-20 14:40:56.072188,2026-03-20,Skew Charm,LONG,LOG,GEX-LIS,6510.23,,6520.23,3,0.16,27.62,27.450000762939453,1.0061930503583105,LOSS,-14.0,1.78,-14.32,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,2026-03-20 14:57:48.715381,2026-03-20,DD Exhaustion,LONG,A+,GEX-LIS,6502.54,,,3,0.17,27.91,27.670000076293945,1.0086736509954575,LOSS,-12.0,8.56,-12.89,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,2026-03-20 15:07:18.304640,2026-03-20,Skew Charm,LONG,LOG,GEX-LIS,6505.14,,6515.14,3,0.32,28.13,27.709999084472656,1.015157016578997,LOSS,-14.0,0.85,-15.49,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,2026-03-20 15:21:37.659034,2026-03-20,SB Absorption,BEARISH,A,GEX-LIS,6501.98,6491.0,,-2,0.22,28.13,27.850000381469727,1.0100538461290856,WIN,13.9,27.75,-41.0,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,2026-03-20 15:29:48.357444,2026-03-20,DD Exhaustion,LONG,A+,GEX-LIS,6495.48,,,3,0.29,28.36,28.059999465942383,1.0106913948598517,LOSS,-12.0,2.54,-12.11,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,2026-03-20 15:30:49.428092,2026-03-20,ES Absorption,BEARISH,LOG,GEX-LIS,6497.81,6495.0,6511.0,-1,0.36,28.33,28.06999969482422,1.009262568863644,WIN,10.0,12.5,0.0,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,2026-03-20 15:42:49.092185,2026-03-20,GEX Long,LONG,A,GEX-LIS,6484.2,6484.0,6511.0,3,0.38,28.79,28.40999984741211,1.0133755774244577,WIN,16.2,23.88,1.32,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,2026-03-20 15:44:19.057370,2026-03-20,Skew Charm,LONG,C,BofA-LIS,6490.25,,6500.25,1,0.26,28.54,28.290000915527344,1.0088370122439776,WIN,13.2,17.83,-4.73,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,2026-03-20 15:49:49.038721,2026-03-20,GEX Long,LONG,A,GEX-LIS,6485.7,6482.0,6511.0,3,0.05,28.27,28.190000534057617,1.0028378667764029,WIN,15.5,22.38,-0.18,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,2026-03-20 15:59:18.216087,2026-03-20,ES Absorption,BEARISH,LOG,GEX-LIS,6506.69,6483.0,6515.0,-1,-0.26,27.39,27.739999771118164,0.9873828488101658,EXPIRED,-3.5,1.25,-3.75,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,2026-03-23 09:45:35.456862,2026-03-23,Skew Charm,SHORT,A,BOFA-MESSY,6604.94,,6594.94,1,-0.66,24.73,25.270000457763672,0.9786307697672492,LOSS,-14.0,3.63,-14.74,1,,,bearish_gap_recovery,"geopolitical_overnight_gap,trump_iran_headline","volatility_spike_pause_candidate,gap_day",[],opposed,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1039,2026-03-23 10:05:19.725872,2026-03-23,ES Absorption,BULLISH,A,BOFA-MESSY,6617.88,6605.0,,-1,-0.72,24.35,24.979999542236328,0.9747798417221297,WIN,10.0,10.5,-3.25,1,,,bearish_gap_recovery,"geopolitical_overnight_gap,trump_iran_headline","volatility_spike_pause_candidate,gap_day",[],no_bias,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1041,2026-03-23 10:13:35.559802,2026-03-23,DD Exhaustion,SHORT,B,AG-LIS,6625.08,,,1,-0.78,24.29,25.049999237060547,0.9696607081753457,LOSS,-12.0,1.43,-12.13,1,,,bearish_gap_recovery,"geopolitical_overnight_gap,trump_iran_headline","volatility_spike_pause_candidate,gap_day",[],opposed,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1043,2026-03-23 10:16:05.097152,2026-03-23,Skew Charm,SHORT,B,AG-LIS,6632.43,,6622.43,1,-0.81,24.22,25.030000686645508,0.9676388068547807,LOSS,-14.0,1.9,-14.16,1,,,bearish_gap_recovery,"geopolitical_overnight_gap,trump_iran_headline","volatility_spike_pause_candidate,gap_day",[],opposed,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1042,2026-03-23 10:21:11.387829,2026-03-23,ES Absorption,BEARISH,C,AG-LIS,6635.28,6840.0,6583.0,1,-0.78,24.11,24.8799991607666,0.9690514796326514,LOSS,-8.0,1.0,-9.75,1,,,bearish_gap_recovery,"geopolitical_overnight_gap,trump_iran_headline","volatility_spike_pause_candidate,gap_day",[],no_bias,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1045,2026-03-23 10:25:05.079923,2026-03-23,DD Exhaustion,LONG,C,AG-LIS,6645.15,,,3,-0.84,23.91,24.75,0.9660606060606061,LOSS,-12.0,-0.79,-12.21,1,,,bearish_gap_recovery,"geopolitical_overnight_gap,trump_iran_headline","volatility_spike_pause_candidate,gap_day",[],aligned,1,0,0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1046,2026-03-23 10:28:34.893522,2026-03-23,Skew Charm,LONG,B,AG-LIS,6634.36,,6644.36,1,-0.76,24.14,24.889999389648438,0.9698674404162357,WIN,9.6,17.26,-6.55,1,,,bearish_gap_recovery,"geopolitical_overnight_gap,trump_iran_headline","volatility_spike_pause_candidate,gap_day",[],aligned,1,0,0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1048,2026-03-23 10:32:52.056518,2026-03-23,ES Absorption,BULLISH,A,AG-LIS,6632.28,6647.0,6576.0,1,-0.66,24.38,25.020000457763672,0.9744204458011878,LOSS,-8.0,5.0,-8.75,1,,,bearish_gap_recovery,"geopolitical_overnight_gap,trump_iran_headline","volatility_spike_pause_candidate,gap_day",[],no_bias,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1049,2026-03-23 10:32:52.072417,2026-03-23,SB Absorption,BULLISH,B,AG-LIS,6632.28,6647.0,,2,-0.66,24.38,25.020000457763672,0.9744204458011878,WIN,1.0,18.5,-70.25,1,,,bearish_gap_recovery,"geopolitical_overnight_gap,trump_iran_headline","volatility_spike_pause_candidate,gap_day",[],no_bias,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1047,2026-03-23 10:38:54.596510,2026-03-23,AG Short,SHORT,A+,AG-LIS,6632.38,6647.0,6576.0,-1,-0.71,24.58,25.15999984741211,0.9769475416959603,LOSS,-11.9,1.29,-13.23,1,,,bearish_gap_recovery,"geopolitical_overnight_gap,trump_iran_headline","volatility_spike_pause_candidate,gap_day",[],opposed,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1052,2026-03-23 10:46:37.236129,2026-03-23,SB10 Absorption,BULLISH,C,AG-LIS,6630.39,6665.0,,2,-0.63,24.6,25.309999465942383,0.9719478672096469,WIN,10.0,12.5,-2.25,1,,,bearish_gap_recovery,"geopolitical_overnight_gap,trump_iran_headline","volatility_spike_pause_candidate,gap_day",[],no_bias,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1054,2026-03-23 10:59:35.775111,2026-03-23,DD Exhaustion,LONG,B,AG-PURE,6637.23,,,3,-0.71,24.52,25.280000686645508,0.9699366825157173,LOSS,-1.0,13.39,-13.69,1,,,bearish_gap_recovery,"geopolitical_overnight_gap,trump_iran_headline","volatility_spike_pause_candidate,gap_day",[],aligned,1,0,0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
